id_khach_san,ten_khach_san,khoan_cach_toi_bien,gan_bien,gia_phong_thap_nhat,tien_nghi
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,2837,false,850000.00,Ghế/ghế dài tắm nắng | Sân thượng / hiên | Ô dù che nắng loại to | Bãi biển | Hồ bơi có tầm nhìn
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,1439,true,850000.00,Quầy bar hồ bơi | Bàn bán tour | Lễ tân 24 giờ | Phòng tắm nắng | Bãi biển
08e6c7e4-8684-47ed-85c3-51f15a7f95cd,Aluna Residence Homestay,1667,true,1100000.00,Hồ bơi có tầm nhìn | Dọn phòng hằng ngày | Ô dù che nắng loại to | Giặt ủi | Wi-Fi có ở các phòng khách sạn và miễn phí
0925a15b-0bd7-451a-9dfd-6d4a9eb3d683,Bona Hote,1662,true,620000.00,Sân hiên phơi nắng | Có xuất hóa đơn | Bảo vệ 24/7 | Dịch vụ đỗ xe cho khách | Máy ATM/rút tiền trong khuôn viên
46a9f30b-c94e-40ac-ba31-71cdd70828af,Brown Bean 2 Hotel,3109,false,390000.00,Báo động an ninh | Vé đi phương tiện công cộng | Dịch vụ đỗ xe cho khách | Hồ bơi vô cực | Nhận/trả phòng riêng
42af2b0d-b35d-408e-9ace-9ed934f7d6d3,Capital O 215 An Duc Hotel Da Nang,1895,true,850000.00,Hệ thống CCTV trong khu vực chung | Lễ tân 24 giờ | Giữ hành lí | Wi-Fi có ở các phòng khách sạn và miễn phí | Dịch vụ đỗ xe cho khách
3b15abc3-1671-4df3-b99a-97be16f36c62,Carinae Danang Hotel,3623,false,850000.00,Dọn phòng hằng ngày | Wi-Fi có ở các phòng khách sạn và miễn phí | Lễ tân 24 giờ | Dịch vụ đỗ xe cho khách | Giữ hành lí
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,1729,true,1750000.00,Cho thuê xe đạp | Ghế/ghế dài tắm nắng | Nhận/trả phòng cấp tốc | Bữa ăn trẻ em | Tour đi bộ
125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa,Cong Thuong Hotel,1394,true,520000.00,Quầy bar hồ bơi | Quầy bar | Máy ATM/rút tiền trong khuôn viên | Ghế/ghế dài tắm nắng | Khăn hồ bơi/bãi biển
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,1300,true,850000.00,Khăn hồ bơi/bãi biển | Bãi biển | Quầy bar | Nhà hàng | Hồ bơi vô cực
