"id_khach_san","ten_khach_san","tien_nghi","khoan_cach_toi_bien","gan_bien","gia_phong_thap_nhat"
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,Ghế/ghế dài tắm nắng,2837,false,850000.00
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,Sân thượng / hiên,2837,false,850000.00
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,Ô dù che nắng loại to,2837,false,850000.00
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,Bãi biển,2837,false,850000.00
a386e4cd-f5fe-4c6f-8958-5a6cf979e6c2,Abogo The Ocean Villa Da Nang Luxury,Hồ bơi có tầm nhìn,2837,false,850000.00
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,Quầy bar hồ bơi,1439,true,850000.00
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,Bàn bán tour,1439,true,850000.00
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,Lễ tân 24 giờ,1439,true,850000.00
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,Phòng tắm nắng,1439,true,850000.00
be813972-f05f-4c24-bd1f-f122fc5572af,A Hotel,Bãi biển,1439,true,850000.00
"08e6c7e4-8684-47ed-85c3-51f15a7f95cd",Aluna Residence Homestay,Hồ bơi có tầm nhìn,1667,true,1100000.00
"08e6c7e4-8684-47ed-85c3-51f15a7f95cd",Aluna Residence Homestay,Dọn phòng hằng ngày,1667,true,1100000.00
"08e6c7e4-8684-47ed-85c3-51f15a7f95cd",Aluna Residence Homestay,Ô dù che nắng loại to,1667,true,1100000.00
"08e6c7e4-8684-47ed-85c3-51f15a7f95cd",Aluna Residence Homestay,Giặt ủi,1667,true,1100000.00
"08e6c7e4-8684-47ed-85c3-51f15a7f95cd",Aluna Residence Homestay,Wi-Fi có ở các phòng khách sạn và miễn phí,1667,true,1100000.00
"0925a15b-0bd7-451a-9dfd-6d4a9eb3d683",Bona Hote,Sân hiên phơi nắng,1662,true,620000.00
"0925a15b-0bd7-451a-9dfd-6d4a9eb3d683",Bona Hote,Có xuất hóa đơn,1662,true,620000.00
"0925a15b-0bd7-451a-9dfd-6d4a9eb3d683",Bona Hote,Bảo vệ 24/7,1662,true,620000.00
"0925a15b-0bd7-451a-9dfd-6d4a9eb3d683",Bona Hote,Dịch vụ đỗ xe cho khách,1662,true,620000.00
"0925a15b-0bd7-451a-9dfd-6d4a9eb3d683",Bona Hote,Máy ATM/rút tiền trong khuôn viên,1662,true,620000.00
"46a9f30b-c94e-40ac-ba31-71cdd70828af",Brown Bean 2 Hotel,Báo động an ninh,3109,false,390000.00
"46a9f30b-c94e-40ac-ba31-71cdd70828af",Brown Bean 2 Hotel,Vé đi phương tiện công cộng,3109,false,390000.00
"46a9f30b-c94e-40ac-ba31-71cdd70828af",Brown Bean 2 Hotel,Dịch vụ đỗ xe cho khách,3109,false,390000.00
"46a9f30b-c94e-40ac-ba31-71cdd70828af",Brown Bean 2 Hotel,Hồ bơi vô cực,3109,false,390000.00
"46a9f30b-c94e-40ac-ba31-71cdd70828af",Brown Bean 2 Hotel,Nhận/trả phòng riêng,3109,false,390000.00
"42af2b0d-b35d-408e-9ace-9ed934f7d6d3",Capital O 215 An Duc Hotel Da Nang,Hệ thống CCTV trong khu vực chung,1895,true,850000.00
"42af2b0d-b35d-408e-9ace-9ed934f7d6d3",Capital O 215 An Duc Hotel Da Nang,Lễ tân 24 giờ,1895,true,850000.00
"42af2b0d-b35d-408e-9ace-9ed934f7d6d3",Capital O 215 An Duc Hotel Da Nang,Giữ hành lí,1895,true,850000.00
"42af2b0d-b35d-408e-9ace-9ed934f7d6d3",Capital O 215 An Duc Hotel Da Nang,Wi-Fi có ở các phòng khách sạn và miễn phí,1895,true,850000.00
"42af2b0d-b35d-408e-9ace-9ed934f7d6d3",Capital O 215 An Duc Hotel Da Nang,Dịch vụ đỗ xe cho khách,1895,true,850000.00
"3b15abc3-1671-4df3-b99a-97be16f36c62",Carinae Danang Hotel,Dọn phòng hằng ngày,3623,false,850000.00
"3b15abc3-1671-4df3-b99a-97be16f36c62",Carinae Danang Hotel,Wi-Fi có ở các phòng khách sạn và miễn phí,3623,false,850000.00
"3b15abc3-1671-4df3-b99a-97be16f36c62",Carinae Danang Hotel,Lễ tân 24 giờ,3623,false,850000.00
"3b15abc3-1671-4df3-b99a-97be16f36c62",Carinae Danang Hotel,Dịch vụ đỗ xe cho khách,3623,false,850000.00
"3b15abc3-1671-4df3-b99a-97be16f36c62",Carinae Danang Hotel,Giữ hành lí,3623,false,850000.00
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,Cho thuê xe đạp,1729,true,1750000.00
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,Ghế/ghế dài tắm nắng,1729,true,1750000.00
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,Nhận/trả phòng cấp tốc,1729,true,1750000.00
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,Bữa ăn trẻ em,1729,true,1750000.00
b18e00c2-25ed-4b2b-b150-25824685c002,Caro Premium Danang Hotel,Tour đi bộ,1729,true,1750000.00
"125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa",Cong Thuong Hotel,Quầy bar hồ bơi,1394,true,520000.00
"125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa",Cong Thuong Hotel,Quầy bar,1394,true,520000.00
"125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa",Cong Thuong Hotel,Máy ATM/rút tiền trong khuôn viên,1394,true,520000.00
"125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa",Cong Thuong Hotel,Ghế/ghế dài tắm nắng,1394,true,520000.00
"125f7e7a-90e9-4e8c-b5dd-04dbbd90eeaa",Cong Thuong Hotel,Khăn hồ bơi/bãi biển,1394,true,520000.00
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,Khăn hồ bơi/bãi biển,1300,true,850000.00
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,Bãi biển,1300,true,850000.00
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,Quầy bar,1300,true,850000.00
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,Nhà hàng,1300,true,850000.00
d8e10a45-c36b-4feb-ac29-8a03b861bd66,Danang Marriott Resort & Spa,Hồ bơi vô cực,1300,true,850000.00
"221cc892-010a-42b5-9153-2cb81a3792fd",Dang's Hotel,Wi-Fi có ở các phòng khách sạn và miễn phí,1597,true,750000.00
"221cc892-010a-42b5-9153-2cb81a3792fd",Dang's Hotel,Dịch vụ streaming như Netflix,1597,true,750000.00
"221cc892-010a-42b5-9153-2cb81a3792fd",Dang's Hotel,Bàn ăn,1597,true,750000.00
"221cc892-010a-42b5-9153-2cb81a3792fd",Dang's Hotel,Phòng tắm riêng,1597,true,750000.00
"221cc892-010a-42b5-9153-2cb81a3792fd",Dang's Hotel,Ấm đun nước điện,1597,true,750000.00
"03ad22fa-19d6-49db-825a-44dd5d620a5c",D&C Hotel,Bữa ăn tự chọn phù hợp với trẻ em,1553,true,390000.00
"03ad22fa-19d6-49db-825a-44dd5d620a5c",D&C Hotel,Lễ tân 24 giờ,1553,true,390000.00
"03ad22fa-19d6-49db-825a-44dd5d620a5c",D&C Hotel,Nhận/trả phòng cấp tốc,1553,true,390000.00
"03ad22fa-19d6-49db-825a-44dd5d620a5c",D&C Hotel,Bảo vệ 24/7,1553,true,390000.00
"03ad22fa-19d6-49db-825a-44dd5d620a5c",D&C Hotel,Dịch vụ đỗ xe cho khách,1553,true,390000.00
"3add70c8-8447-4a2e-9b1f-7f4b58496bf8",Duy Home,Phòng tắm nắng,3026,false,470000.00
"3add70c8-8447-4a2e-9b1f-7f4b58496bf8",Duy Home,Sân thượng / hiên,3026,false,470000.00
"3add70c8-8447-4a2e-9b1f-7f4b58496bf8",Duy Home,Bàn ghế ngoài trời,3026,false,470000.00
"3add70c8-8447-4a2e-9b1f-7f4b58496bf8",Duy Home,Bàn bán tour,3026,false,470000.00
"3add70c8-8447-4a2e-9b1f-7f4b58496bf8",Duy Home,Báo động an ninh,3026,false,470000.00
"6f807f8f-3fbc-4fe7-94d9-598e2c460f1a",Eden Plaza Da Nang Hotel,Khăn hồ bơi/bãi biển,3394,false,780000.00
"6f807f8f-3fbc-4fe7-94d9-598e2c460f1a",Eden Plaza Da Nang Hotel,Hồ bơi trên sân thượng,3394,false,780000.00
"6f807f8f-3fbc-4fe7-94d9-598e2c460f1a",Eden Plaza Da Nang Hotel,Ô dù che nắng loại to,3394,false,780000.00
"6f807f8f-3fbc-4fe7-94d9-598e2c460f1a",Eden Plaza Da Nang Hotel,Nhà hàng,3394,false,780000.00
"6f807f8f-3fbc-4fe7-94d9-598e2c460f1a",Eden Plaza Da Nang Hotel,Ghế/ghế dài tắm nắng,3394,false,780000.00
